Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.8010721585729715,0.9509250585480095,0.701585913541618,0.8427856556254085
x2data.npz,0.9719123786013834,0.9988944107749635,0.9910853301539211,0.9633542548159022
x3data.npz,0.8288635233135571,0.9591533812375133,0.7746307814600121,0.839452678971816
x5data.npz,0.615455961660294,0.7271975984568588,0.2381509628307957,0.6329824177292146
x6data.npz,0.931996573565133,0.9880366230396879,0.8987441351490073,0.9399118781931854
x7data.npz,0.9147570447950585,0.9839165906912595,0.9107192349818096,0.9007225351282917
x8data.npz,0.8808934836900842,0.9949651018074354,0.9492114277720468,0.9761653217308476
x9data.npz,0.9226279667808936,0.9933242655007335,0.9274710359848595,0.9399525576688064
x10data.npz,0.7365701627314253,0.8955955922783867,0.5706475785142302,0.7491029706334269
x11data.npz,0.5277124246047981,0.5673449460880549,0.10197330349604923,0.3836866458193859
x12data.npz,0.6165059299549867,0.7520698982133959,0.27803033491944523,0.5551873940275531
x13data.npz,0.9004554934660469,0.975820895522388,0.8994074074074074,0.8803463810765084
x14data.npz,0.9331828983261522,0.9965167041687124,0.9570956787021485,0.9582993128587555
x15data.npz,0.5372510310961397,0.6584716329953683,0.1247094882258127,0.491649916622867
x16data.npz,0.887950428154048,0.9642927496580027,0.7932745098039214,0.9651075775927535
x17data.npz,0.4848608825951376,0.6661627994646862,0.14347182459459093,0.5997819686372396
x18data.npz,0.7775060888036454,0.9409268311607697,0.6050832764541519,0.8199468195058778
x19data.npz,0.9643714245377231,0.9997920997920998,0.9944688644688643,0.9969874686792345
x20data.npz,0.668786292286147,0.850034153984313,0.39430976207356555,0.6943376747749533
x22data.npz,0.6936729520963947,0.9300545352651783,0.48978265927501896,0.7783498686874168
x24data.npz,0.6550426130399533,0.8697157259315276,0.29883444290369826,0.7074294653559516
x27data.npz,0.35615607123540544,0.46547762651502095,0.025062066860419396,0.448891213450919
