Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7691844275349204,0.944871194379391,0.7031181433437073,0.8807791716537867
x2data.npz,0.8594235845657362,0.9797207813670719,0.9043456777126,0.9275446826734021
x3data.npz,0.7165741985203415,0.9344559420405876,0.6641612864445667,0.8494993213013433
x5data.npz,0.5930630570139026,0.8559460757869367,0.30807511777912655,0.7867634399524261
x6data.npz,0.8989607725318084,0.9777429096825827,0.8428757839825766,0.940339129940558
x7data.npz,0.8853976754833937,0.9744979778853121,0.88699960195394,0.9464483109596049
x8data.npz,0.8395954958594032,0.9975742555877017,0.9678647190369849,0.9655141659665244
x9data.npz,0.8094721315397544,0.9782763091009704,0.8426677725205053,0.9285305674531921
x10data.npz,0.6920399383109077,0.9260879384156162,0.6072847615984787,0.853777544936387
x11data.npz,0.48685729147498147,0.6019936029501286,0.10522950142774375,0.5516828332554574
x12data.npz,0.5794047196956521,0.7780511068403444,0.26127641192594164,0.6917821154192401
x13data.npz,0.8510471535185193,0.9274846356453029,0.7947574638969988,0.8723363364406567
x14data.npz,0.8721612001485199,0.9743363456673043,0.7368159724662062,0.9464436147961732
x15data.npz,0.5165731492284756,0.7552113086346337,0.1864946681461685,0.6883630515992365
x16data.npz,0.8390732827928223,0.9868727770177838,0.8378599439775911,0.9559064231888208
x17data.npz,0.5196290241528024,0.7705806771844509,0.2381271238447955,0.685190984333074
x18data.npz,0.6788414120429638,0.9393218497827437,0.6048827995648345,0.8370979611270511
x19data.npz,0.9014317186337287,0.9984268327641821,0.9626349404743069,0.9906279149929915
x20data.npz,0.5755834413491892,0.8450768902518637,0.2990311601344383,0.7663680689805047
x22data.npz,0.614829386414225,0.9170102181632116,0.37711682021088927,0.7967096765757837
x24data.npz,0.5818171843586781,0.8964835690373711,0.36161695965045376,0.7910234050650395
x27data.npz,0.4499000742728937,0.8031650295823999,0.03878654327813161,0.7118771388119637
