Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.6837247243371094,0.9062138953942233,0.6239784149752167,0.5684448371872903
x2data.npz,0.9490877495770779,0.9976879517945658,0.9827321515260978,0.913682777148086
x3data.npz,0.8022979602064751,0.9565465686708114,0.759914675631194,0.7195471293854999
x5data.npz,0.5525951640639353,0.8316577561665854,0.28191184691844706,0.32232163153173055
x6data.npz,0.933290355738829,0.9853775630934901,0.9019764951947294,0.919363168603482
x7data.npz,0.8526215732698927,0.9640098651144307,0.8380894411952783,0.769699002541532
x8data.npz,0.9659369849590865,0.9982910139492226,0.9711516684516764,0.9668563495243484
x9data.npz,0.8560348380899103,0.9845653400316579,0.8486067071042729,0.8007722699282944
x10data.npz,0.7040021890107119,0.8986319763559955,0.5131888023067406,0.5743602119882172
x11data.npz,0.4807731039393436,0.6035606463409376,0.10965649473416565,0.0
x12data.npz,0.5400862142404633,0.8013367499466154,0.2703326948760759,0.23046314877982582
x13data.npz,0.8506261129932421,0.9588279192273925,0.861,0.7513719057534558
x14data.npz,0.9345198246184712,0.9908615166464315,0.9542439354231889,0.9180248672932088
x15data.npz,0.5332379369153448,0.6953811367765972,0.12717018261453625,0.29005664714779145
x16data.npz,0.8940236509276757,0.9699480164158686,0.8112063492063492,0.9079250330701049
x17data.npz,0.5520958912508765,0.7407529655878713,0.12392298290851503,0.46218407960263586
x18data.npz,0.6546939724885343,0.9181393544382372,0.4942703914560254,0.48492863488365723
x19data.npz,0.9919959953189654,0.9999075999075998,0.9978021978021978,0.991853258475977
x20data.npz,0.62981584305873,0.8612007553683056,0.40289992697456406,0.40702161108497376
x22data.npz,0.5987367693886803,0.9096590438386446,0.4304900396753083,0.3647683800319011
x24data.npz,0.5621454971495432,0.826762244006097,0.29871949445866164,0.21891574974503597
x27data.npz,0.4980774283899284,0.6487736228387615,0.04209181534016139,0.0
