Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7466045355538649,0.913567525370804,0.6008181892372366,0.7304109062118815
x2data.npz,0.923746413696124,0.9885837934588789,0.9455672170931193,0.9473240462358999
x3data.npz,0.742244503289419,0.9366636002193426,0.6572201898063817,0.8600821306824413
x5data.npz,0.6150607577517354,0.8524221444345519,0.3175576676881474,0.7798336013142203
x6data.npz,0.9025858383906933,0.9705239412125273,0.8327037051581231,0.9319628921332692
x7data.npz,0.9172545722733636,0.976975945017182,0.8906452666555511,0.8895434466210634
x8data.npz,0.9427214367556254,0.9978614054844808,0.9744215548548019,0.9833038664511097
x9data.npz,0.8922304378849283,0.9796976174619718,0.8844115852353165,0.9295527187950825
x10data.npz,0.7218344530802365,0.8781470189701898,0.5257572067876018,0.7491739252294854
x11data.npz,0.502893324426539,0.5533611001727312,0.09289744235718062,0.404793498413955
x12data.npz,0.5766808217835393,0.712117054594633,0.2037902013472642,0.5307280456193172
x13data.npz,0.860932071125287,0.9211940298507464,0.8168576238576237,0.786518062800982
x14data.npz,0.8871185680351387,0.9512685693803103,0.775497372895147,0.9285902669093622
x15data.npz,0.5185625061602799,0.7308631873606684,0.1569301599991811,0.6648428910400926
x16data.npz,0.8450090908393669,0.9742051983584131,0.7625028949545077,0.825183842651929
x17data.npz,0.5227622003910045,0.7644135738475362,0.23314890015821713,0.651083231831725
x18data.npz,0.7022995183380307,0.8400628491620111,0.45484154217756095,0.6336918922914607
x19data.npz,0.9446307788389803,0.9987048679819764,0.9723332976726642,0.9951724778647575
x20data.npz,0.6072698983453738,0.7957475503074655,0.26090036202714095,0.7259701852760968
x22data.npz,0.6585399413505868,0.789053097678375,0.24971572295565037,0.7038241927014621
x24data.npz,0.6571724360098518,0.8123068055369049,0.293152008662423,0.6376857127280379
x27data.npz,0.5111607362060689,0.7175570107415705,0.03516613436109038,0.36775057708268977
