Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7752150676867725,0.9233021077283372,0.6507653888183575,0.8224446401386153
x2data.npz,0.8328048030636033,0.9669688082042855,0.8454658616607977,0.9043920701865122
x3data.npz,0.7052434291455549,0.8971614126412545,0.4897638678627917,0.8023972464205267
x5data.npz,0.5900450251494642,0.8103426619789845,0.26044971574542497,0.7324904789369683
x6data.npz,0.7680737101165404,0.9311299910193724,0.6700052756225618,0.8504887710663509
x7data.npz,0.7969795681575318,0.9542815064169998,0.7190632454293076,0.7362317335196374
x8data.npz,0.9138401708171549,0.9948348068712415,0.94615241005255,0.946842414169492
x9data.npz,0.6829827918214109,0.8851386210524284,0.43102464819179503,0.7718369012661733
x10data.npz,0.627678991941251,0.8006400966183576,0.314145236055974,0.6990567259493505
x11data.npz,0.47425859933575054,0.5351933271444298,0.09551670685206144,0.48751707055449467
x12data.npz,0.5398412642608901,0.6220158018364297,0.13141194511553256,0.5427749473100534
x13data.npz,0.784999512242708,0.8880750658472344,0.6611564809459546,0.742502123166908
x14data.npz,0.7500728053482298,0.9336887093436698,0.6406994707844953,0.8487439377141822
x15data.npz,0.4677583633424728,0.6699939291382815,0.1325106717183992,0.6180247175177083
x16data.npz,0.8215570779596574,0.9503091655266758,0.6531022847209288,0.8723086093908844
x17data.npz,0.5042363728248768,0.7141304057577644,0.17668428863791047,0.6706116630197783
x18data.npz,0.6583030885602996,0.868433426443203,0.3597700954223822,0.6697849619914621
x19data.npz,0.8665541140779851,0.9960661773914786,0.9064592044456298,0.9634084690929668
x20data.npz,0.4986514290277104,0.66157939487738,0.10374594752741233,0.6022759303948477
x22data.npz,0.5871279171626502,0.8069572113031093,0.29648747311733753,0.662106051303508
x24data.npz,0.5520319628293235,0.7987909556870127,0.15148856692930393,0.6158686290546538
x27data.npz,0.5011300958295941,0.6507611005801597,0.026186668382261736,0.5812262157140954
