Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7577724709606857,0.9266432474629195,0.6325647036812847,0.716989254415725
x2data.npz,0.9566565651713678,0.997041556628845,0.9832185300751949,0.9264855414076714
x3data.npz,0.8099587534899942,0.9574618577999294,0.7615040123568768,0.7486762208859336
x5data.npz,0.5723060087018914,0.8416234322582881,0.2949334721886702,0.3891859000911698
x6data.npz,0.9313067746743415,0.9844335789938846,0.8951039937959037,0.9222272221149239
x7data.npz,0.8646590870087223,0.9689307338055497,0.8624646532096312,0.8102073644345529
x8data.npz,0.9618310375047235,0.9987448401458379,0.9852426341835804,0.962579779600538
x9data.npz,0.8679212338066267,0.987609354087844,0.8645553811687812,0.8219560135045713
x10data.npz,0.7102881772840955,0.9024890027885786,0.49291554374160906,0.6063402812380639
x11data.npz,0.4807731039393436,0.5923912867719794,0.10842186779529468,0.0
x12data.npz,0.5492672910513793,0.798994412413695,0.2609646497948516,0.2557431577908381
x13data.npz,0.8760442276306325,0.9585074626865673,0.8587777777777778,0.814158360670419
x14data.npz,0.9313530782010329,0.9924366820847845,0.9556829910351544,0.9177055632549542
x15data.npz,0.5306370809176445,0.6968175789110791,0.12928665924340624,0.26272266429819097
x16data.npz,0.9240818743057371,0.9711326949384406,0.8317936507936509,0.9512222533138889
x17data.npz,0.5361605670266559,0.7457487088383314,0.14334761874370525,0.28775775184082936
x18data.npz,0.6915040224753799,0.9306257759155805,0.5249267521430228,0.5462198854140133
x19data.npz,0.9919959953189654,0.9999075999075998,0.9977176669484361,0.991853258475977
x20data.npz,0.6460320482181261,0.8822642897404297,0.40066174228215445,0.44609822722181247
x22data.npz,0.6495100120090955,0.9100658875492579,0.4511011426226898,0.4558502528724889
x24data.npz,0.5813059316810718,0.8819870639593095,0.2796076523589463,0.2836986389234982
x27data.npz,0.4980774283899284,0.7020047102073639,0.05114852430054462,0.0
