Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7641198492535392,0.9300936768149883,0.6480071646576944,0.7614304138973101
x2data.npz,0.9372941335602203,0.986565546279268,0.9487964514003288,0.9278983154784829
x3data.npz,0.7626418082852707,0.9370240278945238,0.6589885889764274,0.8361145160023998
x5data.npz,0.6177023024753066,0.8451560098757966,0.29748578839849493,0.7845569687614146
x6data.npz,0.8987152939711658,0.9723970944309928,0.8302334646104562,0.9185910498304626
x7data.npz,0.8756978294766349,0.9694274960843444,0.8498232412748543,0.8439667355211258
x8data.npz,0.9546496004908427,0.9978235945921915,0.9742478696681923,0.9615267235962639
x9data.npz,0.8881042990649849,0.9810069540962087,0.8713445849147835,0.9082138358750406
x10data.npz,0.7093373947763578,0.8875202761085582,0.5233562955589507,0.7358079976773347
x11data.npz,0.5105015502664291,0.5605732709750567,0.0951907636026334,0.4398604320213673
x12data.npz,0.5764874490969779,0.7164397821909032,0.20324126427454847,0.5283050943974106
x13data.npz,0.877603160667252,0.9068656716417911,0.7987699434740108,0.8173475886390043
x14data.npz,0.8718070866060904,0.959450386510017,0.755922017021517,0.8809157805690747
x15data.npz,0.5454442412152157,0.7093080812966702,0.14328158105405936,0.3897352493982769
x16data.npz,0.8734227981582279,0.9859097127222982,0.8496215538847117,0.8590213981754603
x17data.npz,0.588860131493462,0.7511727030830804,0.22886450675198736,0.49861674781464593
x18data.npz,0.8062201157110813,0.8498696461824954,0.5525529357034167,0.7711909436287995
x19data.npz,0.929249621772624,0.9987514854984735,0.972326637666004,0.9247866331025012
x20data.npz,0.5779156889916578,0.7936454482053634,0.2414984362131957,0.7148217563591441
x22data.npz,0.6781647167643973,0.8504782578840228,0.371231477926116,0.7664351551905282
x24data.npz,0.6405879253415145,0.8453069492445142,0.27506666572897326,0.6306880675829643
x27data.npz,0.5001769778585351,0.7811620426216324,0.03273736231185089,0.5939445026423575
