Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7819979205747231,0.9430523028883684,0.7148288266355494,0.7772334862453174
x2data.npz,0.9764065050458375,0.9989834996764149,0.991760540388419,0.9635333122520869
x3data.npz,0.8252732127052737,0.9623852507441686,0.7828929136249776,0.8248343063248577
x5data.npz,0.652059251069232,0.8471840101767146,0.2968152173398423,0.7143188853581418
x6data.npz,0.9312117276577508,0.9878642397929365,0.9004973038140418,0.9156942934072678
x7data.npz,0.9165194101645504,0.9827968300722351,0.9152749230736653,0.889480235090861
x8data.npz,0.9739724704362487,0.999185432670577,0.989765688058978,0.9751319528828427
x9data.npz,0.9388089018867898,0.9952461875530847,0.9500402799005434,0.9443171430217177
x10data.npz,0.7264314171776828,0.9163185116452613,0.5601259803771714,0.752593650968542
x11data.npz,0.48913990265094276,0.6086471816075424,0.11657620558236251,0.5318363412539321
x12data.npz,0.6015555667877158,0.8033808456117875,0.2902863624784057,0.6560294171536157
x13data.npz,0.8807699158857325,0.967462686567164,0.8612575757575758,0.8580398078804178
x14data.npz,0.9402824071183555,0.9966585480666286,0.9560918609763567,0.9165225839693469
x15data.npz,0.538829778733424,0.7316942595742161,0.146720830487416,0.6084845571296545
x16data.npz,0.8980574628990918,0.9878248974008208,0.860015873015873,0.9478068598525577
x17data.npz,0.5505065905808847,0.787076846109865,0.1841149860664176,0.6885365232352276
x18data.npz,0.7413260080354609,0.933086592178771,0.561663477759389,0.8003266782712846
x19data.npz,0.9845836814257867,0.9999075999075998,0.997948717948718,0.9912753510481928
x20data.npz,0.6513830572755842,0.870387142179295,0.39913510313484696,0.7507125682298339
x22data.npz,0.6963993429684493,0.9401964886554687,0.483230799803403,0.7931425935702765
x24data.npz,0.6497625912111257,0.901089028827118,0.3465731711716881,0.7561228209175457
x27data.npz,0.4853071820005743,0.806298466310529,0.039706098328157954,0.6979697985778432
