Dataset,F1-macro,AUC,AUPR,Gmean
x1data.npz,0.7757570986874404,0.941615925058548,0.653464590964591,0.8823376680333428
x2data.npz,0.9454745994629491,0.9959855656852392,0.9723275645151748,0.9562579789665419
x3data.npz,0.7737074742904755,0.9536442257607602,0.7388754677001647,0.8715677250087495
x5data.npz,0.6320356206027686,0.8554042876698482,0.31221741284145554,0.7704908399297511
x6data.npz,0.9097727159878775,0.9881654268241773,0.897283018140266,0.9535724453862539
x7data.npz,0.815677820742664,0.951090539308507,0.7900789758550915,0.8756447032619665
x8data.npz,0.9265446604525469,0.9983580894554652,0.977771122714379,0.986725316713661
x9data.npz,0.8579568975749459,0.9857215385555813,0.8567563897132408,0.9467796497822407
x10data.npz,0.6964833259421199,0.9145061073799144,0.5078961504490855,0.8367593794299971
x11data.npz,0.5247691449713018,0.6245057536670522,0.12436323472483797,0.474933059011364
x12data.npz,0.5938915501665722,0.7996044202434337,0.27094248309721713,0.6760886540808054
x13data.npz,0.822359296462065,0.9318020193151888,0.8213727422003284,0.8718377381393587
x14data.npz,0.8948370021803932,0.9946152521541073,0.9381248981729995,0.9704733125131627
x15data.npz,0.5434158623981878,0.7345690333795185,0.1537263129907406,0.6414282843967396
x16data.npz,0.8390732827928223,0.984295485636115,0.7795494505494506,0.9559064231888208
x17data.npz,0.5473658178441194,0.7904642134594964,0.18750042402114736,0.7284294161239923
x18data.npz,0.6481410321293855,0.9273750775915579,0.5064802813807561,0.8391061552670068
x19data.npz,0.9037706501258824,0.9999768999769,0.9989010989010989,0.9909321230145025
x20data.npz,0.6081317592655463,0.8635714717899236,0.29589166867461947,0.7873544452559187
x22data.npz,0.5917295972134957,0.9360261025006036,0.4199582625558736,0.8219271469150046
x24data.npz,0.5889848334238478,0.8842675819977556,0.3262198202361684,0.7877126854152121
x27data.npz,0.4612532549565637,0.8025073237980355,0.03329206401694954,0.7435959021290858
