Dataset,Fold,F1-macro,AUC,AUPR,Gmean
x1data.npz,1,0.8724202626641651,0.9578454332552694,0.8210298473456368,0.8381981343406689
x1data.npz,2,0.8514412416851441,0.9,0.7406015037593985,0.7559289460184544
x1data.npz,3,0.6473684210526316,0.8916666666666666,0.4912571089041677,0.6969320524371696
x1data.npz,4,0.7607142857142857,0.969047619047619,0.7897186147186146,0.7367883976130072
x1data.npz,5,0.8580508474576272,0.9666666666666667,0.853174603174603,0.9023778112773575
x1data.npz,Mean,0.7979990117147707,0.9370452771272444,0.7391563355804841,0.7860450683373316
x2data.npz,1,0.9431953803499624,0.9979920749151517,0.9819586618712802,0.9267655568459241
x2data.npz,2,0.9798457952304106,0.9994308227279599,0.995144468496576,0.975769878293292
x2data.npz,3,0.9847606995977765,0.9996086906254725,0.9969708639777137,0.9767355092849541
x2data.npz,4,0.9850057362396948,0.9998043453127363,0.998270451031132,0.9849322377875902
x2data.npz,5,0.9848828861168446,0.9989679619492058,0.9946511493899252,0.9848078698045466
x2data.npz,Mean,0.9755380995069377,0.9991607791061053,0.9933991189533256,0.9698022104032613
x3data.npz,1,0.8636857970760619,0.9673899680354069,0.8315982855183299,0.8284876739014455
x3data.npz,2,0.8197150154415501,0.9597555938037865,0.7659238349116474,0.8296983256171134
x3data.npz,3,0.8548357327427095,0.969118760757315,0.8310210835222608,0.849841536307238
x3data.npz,4,0.8513510788280567,0.9695731497418245,0.8225598146840861,0.8164192841330384
x3data.npz,5,0.8487592614371399,0.9707424633936261,0.8133499049797702,0.8444988422571362
x3data.npz,Mean,0.8476693771051037,0.9673159871463918,0.8128905847232188,0.8337891324431943
x4data.npz,1,0.9894706600588954,0.999940400698027,0.9994453123556898,0.9873348078492792
x4data.npz,2,0.9908837594942331,0.9999022571447642,0.9991026186099742,0.9939970202127105
x4data.npz,3,0.9934047983542602,0.9996183725018307,0.9933454740875476,0.990226703059799
x4data.npz,4,0.9895147844877963,0.9999511039767971,0.9995349657403769,0.9894785150398211
x4data.npz,5,0.9960763522571685,0.999995229656273,0.9999554991878602,0.9971253137516941
x4data.npz,Mean,0.9918700709304706,0.9998814727955384,0.9982767739962897,0.9916324719826608
x5data.npz,1,0.6720537953806431,0.8707875488460639,0.33720071556992554,0.6972369808762438
x5data.npz,2,0.6619062215007133,0.8666632794770179,0.379257477741673,0.6409223234152219
x5data.npz,3,0.6706586826347305,0.8526572502794431,0.3048693733730501,0.6357886540994877
x5data.npz,4,0.6423400557189837,0.8544185888967923,0.33290767477120137,0.6344153292698188
x5data.npz,5,0.6471238897402259,0.863436981336585,0.2913570591029157,0.6285014374184377
x5data.npz,Mean,0.6588165289950594,0.8615927297671803,0.32911846011175316,0.647372945015842
x6data.npz,1,0.9439260615366445,0.9914663674481782,0.9124690589395406,0.9428229611781456
x6data.npz,2,0.9387873513199885,0.9848963562274847,0.933867092698417,0.9338860489504383
x6data.npz,3,0.9259389259389259,0.9906691076595996,0.9440306199692006,0.8988269683831787
x6data.npz,4,0.9504642198043365,0.9957947855340622,0.9412952643517204,0.9748735658032454
x6data.npz,5,0.9040367887898311,0.9701129400456566,0.8537068400681863,0.9179023670831316
x6data.npz,Mean,0.9326306694779454,0.9865879113829962,0.917073775205413,0.9336623822796278
x7data.npz,1,1.0,1.0,1.0,1.0
x7data.npz,2,0.9040723981900454,0.9553264604810997,0.8021594594175241,0.8773593620471724
x7data.npz,3,0.9323979591836735,0.997709049255441,0.9765432098765432,0.8819171036881969
x7data.npz,4,0.8923857868020304,1.0,1.0,0.816496580927726
x7data.npz,5,0.8678633757167789,0.9072164948453608,0.8030561128122105,0.9231650323620068
x7data.npz,Mean,0.9193439039785055,0.9720504009163804,0.9163517564212554,0.8997876158050204
x8data.npz,1,0.980570530098832,0.9997677928712412,0.9974457215836523,0.9968602748246672
x8data.npz,2,0.9506208077636649,0.9987228607918264,0.986413291370188,0.957715071718864
x8data.npz,3,0.9489178256119527,0.9989550679205852,0.9876645219876379,0.9398488802986767
x8data.npz,4,0.9598281667247184,0.9984906536630674,0.9814576206283128,0.9592292466907765
x8data.npz,5,0.9488931808052297,0.9980648282535075,0.9745287231394582,0.956226254720977
x8data.npz,Mean,0.9577661022008795,0.9988002407000456,0.9855019757418498,0.9619759456507924
x9data.npz,1,0.952054162989502,0.9966001157407407,0.9575083874615181,0.9457140159688869
x9data.npz,2,0.947434630245305,0.9979976851851852,0.9758051941142919,0.9607096142763238
x9data.npz,3,0.9193611420820929,0.9929870280287237,0.9420493485854418,0.9203261550354549
x9data.npz,4,0.9434672245467225,0.9966875144776465,0.9594833932301485,0.960030499090846
x9data.npz,5,0.9211475778352253,0.9889535557099838,0.9351480381976696,0.9326460125177595
x9data.npz,Mean,0.9366929475397695,0.994645179828456,0.9539988723178141,0.9438852593778544
x10data.npz,1,0.7219235364396654,0.9424119241192411,0.5539874893910627,0.6483945847157487
x10data.npz,2,0.7777158774373258,0.9620596205962059,0.7177038856304031,0.862340673002476
x10data.npz,3,0.7800396104293852,0.9305329719963866,0.7012042343301683,0.7974666301463207
x10data.npz,4,0.702516309412861,0.866260162601626,0.45540257512722515,0.6447620934744628
x10data.npz,5,0.7473947136744261,0.9259057971014493,0.6516150694690331,0.7543352962247192
x10data.npz,Mean,0.7459180094787327,0.9254340952829818,0.6159826507895785,0.7414598555127455
x11data.npz,1,0.4801288936627282,0.5042162698412698,0.07639454762112485,0.0
x11data.npz,2,0.48068669527896996,0.5978422619047619,0.0936524542122376,0.0
x11data.npz,3,0.48068669527896996,0.640625,0.12617214178861105,0.0
x11data.npz,4,0.48120300751879697,0.625031887755102,0.11763062408861978,0.0
x11data.npz,5,0.48116254036598494,0.6641099392777245,0.11376816567930341,0.0
x11data.npz,Mean,0.48077356642109004,0.6063650717557717,0.10552358667797934,0.0
x12data.npz,1,0.5937821893435715,0.8072371699053312,0.3459015135854445,0.43297674186210355
x12data.npz,2,0.6076516076516076,0.804185351270553,0.3606272467919279,0.43548677298735
x12data.npz,3,0.5637949075688873,0.7788276745675848,0.24666356741721102,0.3350160388943547
x12data.npz,4,0.6189344424638542,0.835970531710442,0.388894668090268,0.41264447705727025
x12data.npz,5,0.6137362637362638,0.830204996796925,0.30945976317416685,0.44217156745686914
x12data.npz,Mean,0.5995798821528369,0.8112851448501672,0.3303093518118037,0.4116591196515896
x13data.npz,1,0.6523809523809524,0.8720588235294118,0.7050724637681158,0.447213595499958
x13data.npz,2,0.8676470588235294,0.9014925373134328,0.6928571428571428,0.7745966692414834
x13data.npz,3,1.0,1.0,1.0,1.0
x13data.npz,4,1.0,1.0,1.0,1.0
x13data.npz,5,0.8259803921568627,0.9776119402985075,0.85,0.7071067811865476
x13data.npz,Mean,0.8692016806722689,0.9502326602282704,0.8495859213250517,0.7857834091855977
x14data.npz,1,0.9724600196714146,0.9991597395192511,0.988714160327554,0.9865098542461107
x14data.npz,2,0.8943977591036414,0.9964689265536723,0.946872527268476,0.8328787755596224
x14data.npz,3,0.9343262781987631,0.9927843281748956,0.939240526092526,0.9181699783069103
x14data.npz,4,0.9073937607467453,0.9953021370670596,0.9409884406286361,0.9037436808237378
x14data.npz,5,0.9582076315810312,0.9988946204863669,0.9841197670330404,0.9427547607590867
x14data.npz,Mean,0.933357089860319,0.996521950360249,0.9599870842700465,0.9168114099390936
x15data.npz,1,0.5749881544657663,0.7366209002861546,0.1757589482993469,0.3749128594916352
x15data.npz,2,0.5730029839421598,0.7638582316438299,0.20554777344607855,0.37609098707881633
x15data.npz,3,0.5506119570952934,0.7778888379862934,0.19443569013267253,0.3165941221584446
x15data.npz,4,0.5364371275151943,0.7392884742641105,0.18240446124853613,0.27463387283457424
x15data.npz,5,0.5125697537208328,0.7096816736773424,0.11668677022050014,0.22324486236271873
x15data.npz,Mean,0.5495219953478494,0.7454676235715463,0.17496672866942686,0.3130953407852379
x16data.npz,1,0.8548644338118021,0.9790697674418605,0.7533333333333332,0.8839656943780168
x16data.npz,2,0.8548644338118021,0.9883720930232558,0.8261904761904761,0.8839656943780168
x16data.npz,3,0.9107142857142856,0.9952941176470588,0.9428571428571428,0.9881652636251156
x16data.npz,4,0.777043765483072,0.9670588235294117,0.72,0.6324555320336759
x16data.npz,5,1.0,1.0,1.0,1.0
x16data.npz,Mean,0.8794973837641923,0.9859589603283174,0.8484761904761904,0.8777104368829651
x17data.npz,1,0.6021763602251406,0.8138814016172508,0.19270331534930354,0.45586918254066755
x17data.npz,2,0.6301897360498495,0.8337391774891776,0.3299040319704415,0.5253323005241787
x17data.npz,3,0.604551920341394,0.8612012987012987,0.24833345211931193,0.5757077330897978
x17data.npz,4,0.5862303096143401,0.75743006993007,0.2299150673688526,0.46933966408105793
x17data.npz,5,0.5237042495701302,0.7259615384615385,0.12875065729266108,0.2725815461484862
x17data.npz,Mean,0.5893705151601709,0.798442697239867,0.22592130482011413,0.4597660852768376
x18data.npz,1,0.8833333333333333,0.9728395061728394,0.8418418418418419,0.8770038782520496
x18data.npz,2,0.8249063670411985,0.9797486033519553,0.7514136904761904,0.8562944724005214
x18data.npz,3,0.84593837535014,0.9455307262569833,0.6817857513491075,0.8587375429068915
x18data.npz,4,0.6721763085399448,0.8533519553072626,0.3864097553435789,0.49860139586177177
x18data.npz,5,0.628968253968254,0.9329608938547486,0.44821697909933206,0.4943818441460296
x18data.npz,Mean,0.7710645276465741,0.9368863369887579,0.6219336036220102,0.7170038267134528
x19data.npz,1,0.9627796901893289,1.0,0.9999999999999998,0.9969924743918552
x19data.npz,2,1.0,1.0,0.9999999999999998,1.0
x19data.npz,3,0.96003696003696,0.9997689997689998,0.9945054945054943,0.9593252421910519
x19data.npz,4,1.0,1.0,0.9999999999999998,1.0
x19data.npz,5,1.0,1.0,0.9999999999999998,1.0
x19data.npz,Mean,0.9845633300452578,0.9999537999538,0.9989010989010987,0.9912635433165814
x20data.npz,1,0.6742021276595744,0.8597775930755783,0.39440214912359933,0.6271904951670891
x20data.npz,2,0.666203438785798,0.8680032099968473,0.3465273756253216,0.6062545991732006
x20data.npz,3,0.6801968019680196,0.827262044653349,0.415054073584855,0.5652515626279485
x20data.npz,4,0.7263178913738019,0.9387887357134441,0.5136292057751694,0.7167885253209717
x20data.npz,5,0.7225318847425601,0.8944120419465064,0.4064034140265238,0.6798580033196214
x20data.npz,Mean,0.6938904289059508,0.877648725077145,0.41520324362709377,0.6390686371217662
x21data.npz,1,0.9912580269491366,0.9999770536133498,0.9994022733458205,0.9960755275675502
x21data.npz,2,0.9876004749018112,0.9998569892530073,0.9961029473517408,0.9859166741447423
x21data.npz,3,0.9752820931123551,0.9996221691375746,0.9923317180360359,0.9750131788334028
x21data.npz,4,0.9774168233374547,0.9998534581234517,0.9963784398214058,0.9851481278352879
x21data.npz,5,0.9874352585684911,0.999971557477006,0.9992448172960122,0.9824724551811949
x21data.npz,Mean,0.9837985353738496,0.9998562455208779,0.9966920391702031,0.9849251927124356
x22data.npz,1,0.7192798827716139,0.9398162812796959,0.46685610092838115,0.8302180180859968
x22data.npz,2,0.7167832167832168,0.9167247386759582,0.36893384393384393,0.6984302957695783
x22data.npz,3,0.7284966342557966,0.9628919860627179,0.5682593101343101,0.6996763811416862
x22data.npz,4,0.6465509323045835,0.9251748251748252,0.31207106606883406,0.5419467627971346
x22data.npz,5,0.6695374800637959,0.9246503496503496,0.4572375326416107,0.6235472626924031
